MTB,YAHOO,M&T Bank Corporation,United States,Financial,Regional - Northeast Banks
ZION,YAHOO,Zions Bancorporation,United States,Financial,Regional - Pacific Banks
BBT,YAHOO,BB&T Corporation,United States,Financial,Regional - Southeast Banks
FHN,YAHOO,First Horizon National Corporation,United States,Financial,Regional - Southeast Banks
RF,YAHOO,Regions Financial Corporation,United States,Financial,Regional - Southeast Banks
AMT,YAHOO,American Tower Corporation,United States,Financial,REIT - Diversified
VNO,YAHOO,Vornado Realty Trust,United States,Financial,REIT - Diversified
HCN,YAHOO,Welltower Inc.,United States,Financial,REIT - Healthcare Facilities
PSA,YAHOO,Public Storage,United States,Financial,REIT - Industrial
BXP,YAHOO,Boston Properties Inc.,United States,Financial,REIT - Office
AIV,YAHOO,Apartment Investment and Management Company,United States,Financial,REIT - Residential
EQR,YAHOO,Equity Residential,United States,Financial,REIT - Residential
KIM,YAHOO,Kimco Realty Corporation,United States,Financial,REIT - Retail
SPG,YAHOO,Simon Property Group Inc.,United States,Financial,REIT - Retail
PBCT,YAHOO,People's United Financial Inc.,United States,Financial,Savings & Loans
AMGN,YAHOO,Amgen Inc.,United States,Healthcare,Biotechnology
BIIB,YAHOO,Biogen Inc.,United States,Healthcare,Biotechnology
CELG,YAHOO,Celgene Corporation,United States,Healthcare,Biotechnology
GILD,YAHOO,Gilead Sciences Inc.,United States,Healthcare,Biotechnology
LIFE,YAHOO,aTyr Pharma Inc.,United States,Healthcare,Biotechnology
BMY,YAHOO,Bristol-Myers Squibb Company,United States,Healthcare,Drug Manufacturers - Major
JNJ,YAHOO,Johnson & Johnson,United States,Healthcare,Drug Manufacturers - Major
LLY,YAHOO,Eli Lilly and Company,United States,Healthcare,Drug Manufacturers - Major
PFE,YAHOO,Pfizer Inc.,United States,Healthcare,Drug Manufacturers - Major
PRGO,YAHOO,Perrigo Company plc,Ireland,Healthcare,Drug Related Products
AGN,YAHOO,Allergan plc,Ireland,Healthcare,Drugs - Generic
MYL,YAHOO,Mylan N.V.,United Kingdom,Healthcare,Drugs - Generic
AET,YAHOO,Aetna Inc.,United States,Healthcare,Health Care Plans
CI,YAHOO,Cigna Corp.,United States,Healthcare,Health Care Plans
CVS,YAHOO,CVS Health Corporation,United States,Healthcare,Health Care Plans
ESRX,YAHOO,Express Scripts Holding Company,United States,Healthcare,Health Care Plans
HUM,YAHOO,Humana Inc.,United States,Healthcare,Health Care Plans
UNH,YAHOO,UnitedHealth Group Incorporated,United States,Healthcare,Health Care Plans
THC,YAHOO,Tenet Healthcare Corp.,United States,Healthcare,Hospitals
ABT,YAHOO,Abbott Laboratories,United States,Healthcare,Medical Appliances & Equipment
BSX,YAHOO,Boston Scientific Corporation,United States,Healthcare,Medical Appliances & Equipment
EW,YAHOO,Edwards Lifesciences Corp.,United States,Healthcare,Medical Appliances & Equipment
MDT,YAHOO,Medtronic plc,Ireland,Healthcare,Medical Appliances & Equipment
STJ,YAHOO,St. Jude Medical Inc.,United States,Healthcare,Medical Appliances & Equipment
SYK,YAHOO,Stryker Corporation,United States,Healthcare,Medical Appliances & Equipment
BAX,YAHOO,Baxter International Inc.,United States,Healthcare,Medical Instruments & Supplies
BCR,YAHOO,CR Bard Inc.,United States,Healthcare,Medical Instruments & Supplies
WAT,YAHOO,Waters Corporation,United States,Healthcare,Medical Instruments & Supplies
DGX,YAHOO,Quest Diagnostics Inc.,United States,Healthcare,Medical Laboratories & Research
LH,YAHOO,Laboratory Corp. of America Holdings,United States,Healthcare,Medical Laboratories & Research
PKI,YAHOO,PerkinElmer Inc.,United States,Healthcare,Medical Laboratories & Research
DVA,YAHOO,DaVita Inc.,United States,Healthcare,Specialized Health Services
NOC,YAHOO,Northrop Grumman Corporation,United States,Industrial Goods,Aerospace/Defense - Major Diversified
TXT,YAHOO,Textron Inc.,United States,Industrial Goods,Aerospace/Defense - Major Diversified
BA,YAHOO,The Boeing Company,United States,Industrial Goods,Aerospace/Defense Products & Services
COL,YAHOO,Rockwell Collins Inc.,United States,Industrial Goods,Aerospace/Defense Products & Services
GD,YAHOO,General Dynamics Corporation,United States,Industrial Goods,Aerospace/Defense Products & Services
LLL,YAHOO,L-3 Communications Holdings Inc.,United States,Industrial Goods,Aerospace/Defense Products & Services
LMT,YAHOO,Lockheed Martin Corporation,United States,Industrial Goods,Aerospace/Defense Products & Services
RTN,YAHOO,Raytheon Company,United States,Industrial Goods,Aerospace/Defense Products & Services
UTX,YAHOO,United Technologies Corporation,United States,Industrial Goods,Aerospace/Defense Products & Services
CMI,YAHOO,Cummins Inc.,United States,Industrial Goods,Diversified Machinery
DHR,YAHOO,Danaher Corp.,United States,Industrial Goods,Diversified Machinery
DOV,YAHOO,Dover Corporation,United States,Industrial Goods,Diversified Machinery
ETN,YAHOO,Eaton Corporation plc,Ireland,Industrial Goods,Diversified Machinery
FLS,YAHOO,Flowserve Corp.,United States,Industrial Goods,Diversified Machinery
GE,YAHOO,General Electric Company,United States,Industrial Goods,Diversified Machinery
HON,YAHOO,Honeywell International Inc.,United States,Industrial Goods,Diversified Machinery
IR,YAHOO,Ingersoll-Rand Plc,Ireland,Industrial Goods,Diversified Machinery
ITW,YAHOO,Illinois Tool Works Inc.,United States,Industrial Goods,Diversified Machinery
MMM,YAHOO,3M Company,United States,Industrial Goods,Diversified Machinery
ROK,YAHOO,Rockwell Automation Inc.,United States,Industrial Goods,Diversified Machinery
XYL,YAHOO,Xylem Inc.,United States,Industrial Goods,Diversified Machinery
CAT,YAHOO,Caterpillar Inc.,United States,Industrial Goods,Farm & Construction Machinery
DE,YAHOO,Deere & Company,United States,Industrial Goods,Farm & Construction Machinery
